source,language,article_id,url,title,extracted_at,climate_max_sim,climate_best_keyword,health_max_sim,health_best_keyword,climate_threshold,health_threshold,category
aftonbladet_se,Swedish,4533,https://www.aftonbladet.se/tagg/handen,Handen,2026-03-08 17:44:57,0.5591,heatwave,0.6331,deaths,0.60,0.62,health
aftonbladet_se,Swedish,4670,https://www.aftonbladet.se/tagg/lily-james,Lily James,2026-03-08 17:47:45,0.6101,heatwave,0.6314,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4697,https://www.aftonbladet.se/tagg/libanon,Libanon,2026-03-08 17:48:18,0.5979,heatwave,0.6358,west nile virus,0.60,0.62,health
aftonbladet_se,Swedish,4707,https://www.aftonbladet.se/tagg/lia-larsson,Lia Larsson,2026-03-08 17:48:29,0.6141,heatwave,0.6364,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4791,https://www.aftonbladet.se/tagg/lasse-stefanz,Lasse Stefanz,2026-03-08 17:50:14,0.6179,heatwave,0.6440,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4804,https://www.aftonbladet.se/tagg/lasermannen-john-ausonius,”Lasermannen” John Ausonius,2026-03-08 17:50:31,0.6034,heatwave,0.6320,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4862,https://www.aftonbladet.se/tagg/lamar-odom,Lamar Odom,2026-03-08 17:51:43,0.6038,heatwave,0.6398,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4916,https://www.aftonbladet.se/tagg/kungsangen,Kungsängen,2026-03-08 17:52:47,0.5871,heatwave,0.6381,deaths,0.60,0.62,health
aftonbladet_se,Swedish,4957,https://www.aftonbladet.se/tagg/kristoffer-bergstrom,Kristoffer Bergström,2026-03-08 17:53:41,0.6199,heatwave,0.6333,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4959,https://www.aftonbladet.se/tagg/kristofer-hivju,Kristofer Hivju,2026-03-08 17:53:43,0.6156,heatwave,0.6441,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4968,https://www.aftonbladet.se/tagg/kristina-lugn,Kristina Lugn,2026-03-08 17:53:54,0.6244,heatwave,0.6202,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4992,https://www.aftonbladet.se/tagg/krimhalvon,Krimhalvön,2026-03-08 17:54:22,0.5978,heatwave,0.6254,west nile virus,0.60,0.62,health
aftonbladet_se,Swedish,5072,https://www.aftonbladet.se/tagg/kodjo-akolor,Kodjo Akolor,2026-03-08 17:56:03,0.6078,heatwave,0.6172,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5087,https://www.aftonbladet.se/tagg/klimat-resa,Klimat | Resa,2026-03-08 17:56:23,0.6581,variable climates,0.6227,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5088,https://www.aftonbladet.se/tagg/klimatpolitik,Klimatpolitik,2026-03-08 17:56:23,0.6092,climate crisis,0.5598,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5090,https://www.aftonbladet.se/tagg/klimat-miljo,Aftonbladet klimat,2026-03-08 17:56:26,0.6227,changing climate,0.5167,extreme poverty,0.60,0.62,climate
aftonbladet_se,Swedish,5093,https://www.aftonbladet.se/tagg/klimatflyktingar,Klimatflyktingar,2026-03-08 17:56:28,0.6188,variable climates,0.5906,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5113,https://www.aftonbladet.se/tagg/klara-almstrom,Klara Almström,2026-03-08 17:56:53,0.6161,heatwave,0.6282,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,5136,https://www.aftonbladet.se/tagg/kinshasa,Kinshasa,2026-03-08 17:57:23,0.6414,heatwave,0.6952,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5168,https://www.aftonbladet.se/tagg/khashayar-farmanbar,Khashayar Farmanbar,2026-03-08 17:58:09,0.6201,heatwave,0.6412,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5172,https://www.aftonbladet.se/tagg/khabib-nurmagomedov,Khabib Nurmagomedov,2026-03-08 17:58:12,0.5823,heatwave,0.6291,hunger,0.60,0.62,health
aftonbladet_se,Swedish,5228,https://www.aftonbladet.se/tagg/katowice,Katowice,2026-03-08 17:59:23,0.6365,heatwave,0.6079,deaths,0.60,0.62,climate
aftonbladet_se,Swedish,5243,https://www.aftonbladet.se/tagg/kasym-zjomart-tokajev,Kasym-Zjomart Tokajev,2026-03-08 17:59:42,0.5930,heatwave,0.6212,casualties,0.60,0.62,health
aftonbladet_se,Swedish,5299,https://www.aftonbladet.se/tagg/kapstaden,Kapstaden,2026-03-08 18:00:53,0.6383,heatwave,0.6744,west nile virus,0.60,0.62,climate+health
