,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_source[11326],0.16,0.05,0.073,0.261,0.0,0.001,34005.0,10765.0,1.0
p_source[11327],0.101,0.036,0.04,0.174,0.0,0.0,37895.0,11014.0,1.0
p_source[11328],0.081,0.028,0.033,0.137,0.0,0.0,35741.0,10994.0,1.0
p_source[11329],0.072,0.025,0.03,0.121,0.0,0.0,40426.0,11033.0,1.0
p_source[11330],0.13,0.043,0.056,0.217,0.0,0.0,40870.0,11768.0,1.0
p_source[11331],0.087,0.033,0.03,0.153,0.0,0.0,32358.0,10129.0,1.0
p_source[11332],0.085,0.03,0.033,0.145,0.0,0.0,39444.0,11946.0,1.0
p_source[11333],0.103,0.036,0.042,0.174,0.0,0.0,40126.0,11619.0,1.0
p_source[11334],0.127,0.042,0.055,0.213,0.0,0.0,33679.0,12001.0,1.0
p_source[11335],0.096,0.034,0.037,0.163,0.0,0.0,37841.0,11316.0,1.0
p_source[11336],0.152,0.05,0.06,0.25,0.0,0.0,36567.0,11026.0,1.0
p_source[11337],0.213,0.061,0.104,0.336,0.0,0.001,39277.0,11356.0,1.0
p_source[11338],0.159,0.051,0.069,0.262,0.0,0.001,39541.0,10930.0,1.0
p_source[11339],0.16,0.052,0.068,0.261,0.0,0.0,42055.0,12077.0,1.0
p_source[11340],0.138,0.048,0.056,0.234,0.0,0.0,39328.0,10125.0,1.0
p_source[11341],0.125,0.039,0.057,0.204,0.0,0.0,40350.0,10738.0,1.0
p_source[11342],0.091,0.035,0.033,0.162,0.0,0.0,39824.0,11651.0,1.0
p_source[11343],0.113,0.043,0.042,0.202,0.0,0.0,35250.0,10944.0,1.0
p_source[11344],0.084,0.032,0.03,0.147,0.0,0.0,39933.0,11160.0,1.0
p_source[11345],0.144,0.048,0.057,0.236,0.0,0.0,35511.0,10399.0,1.0
p_source[11346],0.12,0.043,0.046,0.206,0.0,0.0,38395.0,11306.0,1.0
p_source[11347],0.151,0.051,0.06,0.251,0.0,0.001,37374.0,10961.0,1.0
p_source[11348],0.199,0.061,0.09,0.319,0.0,0.001,35999.0,10435.0,1.0
p_source[11349],0.239,0.069,0.117,0.378,0.0,0.001,40690.0,11407.0,1.0
p_source[11350],0.197,0.064,0.083,0.323,0.0,0.001,34491.0,11939.0,1.0
p_source[11351],0.152,0.047,0.069,0.244,0.0,0.0,43011.0,11782.0,1.0
p_source[11352],0.164,0.053,0.072,0.271,0.0,0.001,38797.0,12098.0,1.0
p_source[11353],0.102,0.037,0.039,0.174,0.0,0.0,39820.0,11094.0,1.0
p_source[11354],0.104,0.036,0.042,0.174,0.0,0.0,40091.0,10705.0,1.0
p_source[11355],0.154,0.048,0.068,0.249,0.0,0.0,36289.0,11198.0,1.0
p_source[11356],0.101,0.037,0.038,0.174,0.0,0.0,40098.0,11257.0,1.0
p_source[11357],0.164,0.051,0.073,0.266,0.0,0.0,36038.0,11986.0,1.0
p_source[11358],0.22,0.065,0.104,0.351,0.0,0.001,38549.0,11238.0,1.0
p_source[11359],0.23,0.069,0.107,0.37,0.0,0.001,38457.0,11336.0,1.0
p_source[11360],0.181,0.06,0.077,0.301,0.0,0.001,41974.0,11490.0,1.0
p_source[11361],0.177,0.057,0.077,0.292,0.0,0.001,36473.0,11278.0,1.0
p_source[11362],0.147,0.052,0.057,0.251,0.0,0.001,37532.0,10623.0,1.0
p_source[11363],0.13,0.046,0.051,0.222,0.0,0.0,38052.0,12254.0,1.0
p_source[11364],0.147,0.05,0.061,0.248,0.0,0.001,38624.0,11285.0,1.0
p_source[11365],0.125,0.043,0.05,0.211,0.0,0.0,38956.0,11812.0,1.0
p_source[11366],0.097,0.038,0.034,0.172,0.0,0.0,36957.0,11620.0,1.0
p_source[11367],0.14,0.052,0.053,0.243,0.0,0.001,33283.0,11266.0,1.0
p_source[11368],0.096,0.036,0.036,0.168,0.0,0.0,37134.0,10908.0,1.0
p_source[11369],0.139,0.049,0.053,0.236,0.0,0.001,38100.0,11418.0,1.0
p_source[11370],0.128,0.047,0.05,0.224,0.0,0.0,37144.0,11191.0,1.0
p_source[11371],0.125,0.046,0.046,0.216,0.0,0.0,37814.0,10830.0,1.0
p_source[11372],0.133,0.049,0.05,0.234,0.0,0.001,38937.0,11345.0,1.0
p_source[11373],0.17,0.059,0.067,0.287,0.0,0.001,36905.0,10568.0,1.0
p_source[11374],0.215,0.068,0.093,0.35,0.0,0.001,34950.0,10539.0,1.0
p_source[11375],0.135,0.049,0.049,0.231,0.0,0.001,42185.0,10188.0,1.0
p_source[11376],0.121,0.047,0.042,0.216,0.0,0.001,40606.0,10509.0,1.0
p_source[11377],0.131,0.046,0.054,0.227,0.0,0.0,37177.0,11855.0,1.0
p_source[11378],0.054,0.028,0.012,0.11,0.0,0.0,40015.0,11700.0,1.0
p_source[11379],0.078,0.037,0.02,0.152,0.0,0.0,39296.0,10081.0,1.0
p_source[11380],0.046,0.024,0.01,0.092,0.0,0.0,40159.0,10495.0,1.0
p_source[11381],0.04,0.021,0.009,0.082,0.0,0.0,40435.0,10466.0,1.0
p_source[11382],0.081,0.04,0.021,0.162,0.0,0.0,39861.0,10413.0,1.0
p_source[11383],0.082,0.038,0.022,0.16,0.0,0.0,39501.0,11368.0,1.0
p_source[11384],0.221,0.081,0.081,0.382,0.0,0.001,38541.0,10943.0,1.0
p_source[11385],0.137,0.057,0.042,0.251,0.0,0.001,36806.0,11394.0,1.0
p_source[11386],0.082,0.039,0.022,0.16,0.0,0.0,36858.0,11633.0,1.0
p_source[11387],0.045,0.021,0.013,0.087,0.0,0.0,36968.0,11707.0,1.0
p_source[11388],0.066,0.031,0.018,0.129,0.0,0.0,36262.0,9936.0,1.0
p_source[11389],0.099,0.042,0.029,0.18,0.0,0.0,41793.0,11884.0,1.0
p_source[11390],0.061,0.03,0.015,0.12,0.0,0.0,37736.0,10850.0,1.0
p_source[11391],0.098,0.044,0.028,0.188,0.0,0.0,40117.0,11452.0,1.0
p_source[11392],0.091,0.043,0.026,0.178,0.0,0.0,33206.0,10414.0,1.0
p_source[11393],0.092,0.041,0.027,0.175,0.0,0.0,36709.0,10727.0,1.0
p_source[11394],0.101,0.047,0.025,0.193,0.0,0.001,38476.0,10181.0,1.0
p_source[11395],0.098,0.043,0.028,0.183,0.0,0.0,39852.0,10903.0,1.0
p_source[11396],0.148,0.056,0.051,0.26,0.0,0.001,40450.0,10630.0,1.0
p_source[11397],0.133,0.057,0.038,0.245,0.0,0.001,36164.0,11035.0,1.0
p_source[11398],0.11,0.05,0.028,0.208,0.0,0.001,37594.0,10588.0,1.0
p_source[11399],0.113,0.047,0.035,0.205,0.0,0.0,37041.0,11108.0,1.0
p_source[11400],0.146,0.054,0.049,0.252,0.0,0.001,39145.0,11070.0,1.0
p_source[11401],0.062,0.031,0.014,0.125,0.0,0.0,36683.0,10511.0,1.0
p_source[11402],0.095,0.045,0.024,0.182,0.0,0.001,42760.0,11032.0,1.0
p_source[11403],0.057,0.029,0.014,0.114,0.0,0.0,38796.0,11031.0,1.0
p_source[11404],0.085,0.037,0.024,0.158,0.0,0.0,38470.0,11359.0,1.0
p_source[11405],0.074,0.035,0.02,0.144,0.0,0.0,34557.0,10846.0,1.0
p_source[11406],0.095,0.043,0.025,0.182,0.0,0.0,35629.0,10818.0,1.0
p_source[11407],0.15,0.061,0.046,0.272,0.0,0.001,41364.0,11239.0,1.0
p_source[11408],0.177,0.067,0.061,0.308,0.0,0.001,41331.0,10773.0,1.0
p_source[11409],0.135,0.052,0.045,0.235,0.0,0.001,32810.0,10321.0,1.0
p_source[11410],0.131,0.055,0.042,0.242,0.0,0.001,35052.0,11379.0,1.0
p_source[11411],0.085,0.037,0.024,0.159,0.0,0.0,37861.0,10655.0,1.0
p_source[11412],0.19,0.063,0.079,0.315,0.0,0.001,36974.0,12027.0,1.0
p_source[11413],0.098,0.044,0.027,0.185,0.0,0.0,38873.0,11588.0,1.0
p_source[11414],0.086,0.042,0.02,0.17,0.0,0.001,41812.0,10400.0,1.0
p_source[11415],0.077,0.037,0.018,0.148,0.0,0.0,39106.0,11664.0,1.0
p_source[11416],0.088,0.041,0.023,0.173,0.0,0.0,34094.0,11081.0,1.0
p_source[11417],0.113,0.049,0.034,0.21,0.0,0.001,40332.0,11403.0,1.0
p_source[11418],0.128,0.053,0.039,0.235,0.0,0.001,35268.0,11059.0,1.0
p_source[11419],0.117,0.048,0.036,0.214,0.0,0.001,37517.0,10928.0,1.0
