,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[220],-0.143,0.977,-2.038,1.803,0.005,0.009,33466.0,10469.0,1.0
z_source[221],-1.555,0.474,-2.486,-0.64,0.006,0.004,7181.0,10209.0,1.0
z_source[222],-0.987,0.846,-2.658,0.644,0.007,0.007,14760.0,12149.0,1.0
z_source[223],-1.243,0.587,-2.419,-0.121,0.006,0.004,10445.0,11919.0,1.0
z_source[224],0.425,0.97,-1.489,2.299,0.005,0.01,36570.0,10115.0,1.0
z_source[225],0.003,0.532,-1.055,1.019,0.005,0.004,12117.0,12471.0,1.0
z_source[226],0.394,0.444,-0.447,1.279,0.005,0.003,7259.0,10587.0,1.0
z_source[227],0.155,0.462,-0.734,1.1,0.005,0.003,9886.0,11236.0,1.0
z_source[228],-0.156,0.758,-1.603,1.383,0.005,0.007,23840.0,12079.0,1.0
z_source[229],0.732,0.418,-0.109,1.53,0.005,0.003,8080.0,9962.0,1.0
z_source[230],0.428,0.823,-1.139,2.07,0.005,0.008,32583.0,11123.0,1.0
z_source[231],-0.401,0.401,-1.168,0.412,0.005,0.003,5765.0,7790.0,1.0
z_source[232],-0.043,0.576,-1.207,1.046,0.005,0.004,15250.0,12878.0,1.0
z_source[233],-1.06,0.707,-2.49,0.261,0.004,0.006,25497.0,11929.0,1.0
z_source[234],1.184,0.404,0.388,1.968,0.005,0.003,6632.0,9221.0,1.0
z_source[235],0.422,0.55,-0.665,1.466,0.005,0.004,12889.0,13449.0,1.0
z_source[236],0.443,0.581,-0.701,1.563,0.007,0.004,7777.0,10157.0,1.0
z_source[237],0.626,0.432,-0.219,1.454,0.005,0.003,8610.0,10570.0,1.0
z_source[238],-0.055,0.503,-1.045,0.922,0.005,0.004,12461.0,12432.0,1.0
z_source[239],0.09,0.671,-1.194,1.442,0.005,0.005,21056.0,13316.0,1.0
z_source[240],0.8,0.394,0.027,1.566,0.005,0.003,5859.0,8345.0,1.0
z_source[241],-0.553,0.742,-2.023,0.881,0.005,0.006,22594.0,12956.0,1.0
z_source[242],-0.58,0.474,-1.529,0.336,0.005,0.003,8930.0,10597.0,1.0
z_source[243],0.503,0.577,-0.614,1.659,0.005,0.004,12602.0,11976.0,1.0
z_source[244],0.338,0.516,-0.644,1.377,0.005,0.004,12525.0,12678.0,1.0
z_source[245],-1.545,0.447,-2.413,-0.671,0.005,0.003,7296.0,9843.0,1.0
z_source[246],-0.41,0.953,-2.232,1.498,0.005,0.009,34996.0,10885.0,1.0
z_source[247],-0.291,0.875,-2.007,1.43,0.005,0.008,36296.0,10800.0,1.0
z_source[248],0.078,0.466,-0.816,1.01,0.005,0.004,9618.0,10849.0,1.0
z_source[249],0.625,0.864,-1.157,2.232,0.005,0.008,32999.0,11433.0,1.0
z_source[250],-1.449,0.488,-2.433,-0.516,0.005,0.003,9119.0,10873.0,1.0
z_source[251],0.714,0.452,-0.204,1.567,0.005,0.003,7712.0,10420.0,1.0
z_source[252],-0.572,0.4,-1.351,0.214,0.004,0.003,7968.0,10128.0,1.0
z_source[253],-1.072,0.658,-2.369,0.219,0.005,0.005,21168.0,13347.0,1.0
z_source[254],-0.833,0.902,-2.554,0.975,0.005,0.009,29188.0,11224.0,1.0
z_source[255],0.107,0.676,-1.194,1.438,0.006,0.005,12914.0,12963.0,1.0
z_source[256],0.036,0.522,-0.982,1.085,0.005,0.004,12176.0,11604.0,1.0
z_source[257],0.674,0.593,-0.473,1.851,0.005,0.004,13566.0,11583.0,1.0
z_source[258],-0.247,0.399,-1.03,0.541,0.005,0.004,6595.0,8559.0,1.0
z_source[259],0.715,0.399,-0.042,1.524,0.005,0.003,7759.0,9406.0,1.0
z_source[260],-0.099,0.867,-1.782,1.593,0.005,0.008,28447.0,10876.0,1.0
z_source[261],0.31,0.462,-0.586,1.215,0.005,0.003,10235.0,11227.0,1.0
z_source[262],0.564,0.463,-0.329,1.466,0.005,0.003,9546.0,10976.0,1.0
z_source[263],-0.502,0.461,-1.425,0.393,0.005,0.003,8312.0,10973.0,1.0
z_source[264],-0.412,0.597,-1.597,0.746,0.006,0.004,9424.0,11108.0,1.0
z_source[265],-0.133,0.945,-2.029,1.663,0.005,0.009,37779.0,11600.0,1.0
z_source[266],0.853,0.399,0.086,1.649,0.005,0.003,6441.0,9063.0,1.0
z_source[267],-0.785,0.564,-1.906,0.285,0.005,0.004,11764.0,11489.0,1.0
z_source[268],0.009,0.891,-1.758,1.691,0.005,0.008,30405.0,12204.0,1.0
z_source[269],-1.305,0.492,-2.309,-0.378,0.005,0.004,8123.0,10761.0,1.0
z_source[270],1.292,0.542,0.229,2.35,0.005,0.004,11608.0,12741.0,1.0
z_source[271],-0.05,0.919,-1.899,1.687,0.005,0.009,35674.0,11429.0,1.0
z_source[272],0.341,0.492,-0.614,1.309,0.005,0.004,10401.0,10949.0,1.0
z_source[273],-0.068,0.994,-2.058,1.831,0.005,0.01,38382.0,10738.0,1.0
z_source[274],0.261,0.551,-0.818,1.363,0.005,0.004,11902.0,12504.0,1.0
z_source[275],0.22,0.556,-0.876,1.282,0.004,0.004,15537.0,12101.0,1.0
z_source[276],-0.356,0.79,-1.84,1.253,0.005,0.007,29616.0,12679.0,1.0
z_source[277],0.403,0.426,-0.407,1.268,0.005,0.003,6445.0,9074.0,1.0
z_source[278],-0.943,0.642,-2.185,0.346,0.005,0.005,17289.0,12121.0,1.0
z_source[279],0.047,0.415,-0.731,0.895,0.005,0.003,6755.0,9693.0,1.0
z_source[280],0.817,0.493,-0.128,1.772,0.006,0.003,7648.0,11307.0,1.0
z_source[281],0.164,0.432,-0.688,0.991,0.005,0.003,8234.0,10109.0,1.0
z_source[282],0.413,0.906,-1.318,2.204,0.005,0.008,33516.0,12080.0,1.0
z_source[283],-1.129,0.556,-2.187,-0.032,0.006,0.004,9801.0,11693.0,1.0
z_source[284],-1.087,0.556,-2.168,-0.007,0.006,0.004,9990.0,11731.0,1.0
z_source[285],0.641,0.431,-0.168,1.521,0.005,0.003,6522.0,9144.0,1.0
z_source[286],0.573,0.394,-0.189,1.345,0.005,0.003,6787.0,9616.0,1.0
z_source[287],-0.151,0.446,-1.021,0.719,0.006,0.003,6477.0,9200.0,1.0
z_source[288],-2.957,0.474,-3.862,-2.017,0.005,0.003,7562.0,10668.0,1.0
z_source[289],-0.04,1.005,-2.051,1.887,0.005,0.01,36701.0,9833.0,1.0
z_source[290],1.202,0.584,0.074,2.342,0.004,0.004,17513.0,12949.0,1.0
z_source[291],-0.279,0.424,-1.109,0.547,0.005,0.003,7434.0,9940.0,1.0
z_source[292],-0.006,0.535,-1.045,1.063,0.005,0.004,12270.0,11548.0,1.0
z_source[293],0.713,0.515,-0.243,1.777,0.004,0.004,14529.0,11699.0,1.0
tau_group[0],0.449,0.116,0.227,0.68,0.002,0.001,4925.0,6874.0,1.0
tau_group[1],0.58,0.384,0.001,1.347,0.004,0.004,7675.0,6235.0,1.0
tau_group[2],0.392,0.15,0.12,0.716,0.002,0.002,4686.0,4506.0,1.0
tau_group[3],0.419,0.08,0.266,0.578,0.001,0.001,4375.0,6366.0,1.0
sigma_source[0],0.448,0.057,0.343,0.561,0.001,0.001,5473.0,7989.0,1.0
sigma_source[1],0.256,0.143,0.072,0.531,0.002,0.002,6356.0,9985.0,1.0
sigma_source[2],0.338,0.067,0.219,0.471,0.001,0.001,6097.0,9005.0,1.0
sigma_source[3],0.534,0.042,0.459,0.623,0.001,0.0,5452.0,7960.0,1.0
mu_global,-1.639,0.116,-1.871,-1.407,0.001,0.002,9899.0,9672.0,1.0
alpha_country[0],-1.72,0.221,-2.155,-1.291,0.002,0.002,13646.0,11126.0,1.0
alpha_country[1],-1.705,0.253,-2.208,-1.223,0.002,0.002,11844.0,11641.0,1.0
alpha_country[2],-2.327,0.289,-2.898,-1.758,0.002,0.002,15343.0,12571.0,1.0
alpha_country[3],-1.98,0.217,-2.412,-1.562,0.002,0.002,8548.0,10668.0,1.0
alpha_country[4],-1.298,0.174,-1.642,-0.954,0.002,0.001,11910.0,10952.0,1.0
alpha_country[5],-1.878,0.228,-2.329,-1.431,0.002,0.002,8327.0,10176.0,1.0
alpha_country[6],-1.477,0.268,-1.984,-0.93,0.003,0.002,9523.0,10593.0,1.0
alpha_country[7],-1.722,0.223,-2.17,-1.292,0.002,0.002,12479.0,11523.0,1.0
alpha_country[8],-2.332,0.262,-2.842,-1.812,0.002,0.002,12352.0,12401.0,1.0
alpha_country[9],-1.425,0.325,-2.088,-0.779,0.002,0.003,23567.0,12774.0,1.0
alpha_country[10],-1.838,0.21,-2.266,-1.439,0.003,0.002,6502.0,9110.0,1.0
alpha_country[11],-2.117,0.214,-2.546,-1.705,0.002,0.002,7893.0,9928.0,1.0
alpha_country[12],-2.544,0.256,-3.035,-2.027,0.003,0.002,8483.0,9781.0,1.0
alpha_country[13],-1.904,0.182,-2.27,-1.557,0.002,0.001,7077.0,9452.0,1.0
alpha_country[14],-1.393,0.226,-1.827,-0.946,0.003,0.002,7972.0,10067.0,1.0
alpha_country[15],-1.868,0.258,-2.364,-1.351,0.002,0.002,13990.0,11873.0,1.0
alpha_country[16],-2.698,0.302,-3.269,-2.084,0.003,0.002,10201.0,12084.0,1.0
alpha_country[17],-1.545,0.217,-1.965,-1.12,0.002,0.002,9395.0,10396.0,1.0
alpha_country[18],-1.743,0.201,-2.128,-1.345,0.002,0.001,8532.0,11155.0,1.0
alpha_country[19],-1.34,0.258,-1.863,-0.848,0.002,0.003,16890.0,11865.0,1.0
alpha_country[20],-2.127,0.447,-3.017,-1.27,0.003,0.004,25755.0,12090.0,1.0
alpha_country[21],-2.084,0.246,-2.579,-1.612,0.003,0.002,9236.0,10985.0,1.0
alpha_country[22],-2.095,0.218,-2.518,-1.668,0.002,0.002,8645.0,10184.0,1.0
alpha_country[23],-2.568,0.237,-3.034,-2.108,0.003,0.002,6107.0,8760.0,1.0
alpha_country[24],-1.768,0.216,-2.18,-1.337,0.002,0.002,10381.0,6337.0,1.0
alpha_country[25],-1.91,0.256,-2.418,-1.416,0.002,0.002,13471.0,12141.0,1.0
alpha_country[26],-2.108,0.283,-2.657,-1.562,0.002,0.002,16179.0,11855.0,1.0
alpha_country[27],-1.051,0.17,-1.393,-0.729,0.002,0.001,7965.0,8593.0,1.0
alpha_country[28],-1.899,0.228,-2.347,-1.455,0.002,0.002,11025.0,11981.0,1.0
alpha_country[29],-1.565,0.177,-1.907,-1.221,0.002,0.001,9655.0,11920.0,1.0
alpha_country[30],-2.081,0.2,-2.464,-1.679,0.002,0.002,10306.0,11054.0,1.0
alpha_country[31],-0.955,0.219,-1.38,-0.532,0.002,0.002,8671.0,8417.0,1.0
alpha_country[32],-2.04,0.226,-2.482,-1.601,0.003,0.002,8156.0,9609.0,1.0
alpha_country[33],-1.754,0.255,-2.247,-1.251,0.002,0.002,13773.0,12761.0,1.0
alpha_country[34],-2.343,0.215,-2.776,-1.927,0.002,0.002,8393.0,9931.0,1.0
alpha_country[35],-1.533,0.255,-2.014,-1.021,0.002,0.002,13512.0,12666.0,1.0
alpha_country[36],-2.365,0.213,-2.778,-1.95,0.003,0.002,6991.0,9138.0,1.0
alpha_country[37],-1.122,0.197,-1.507,-0.733,0.002,0.001,10742.0,11455.0,1.0
alpha_country[38],-2.429,0.285,-3.005,-1.879,0.002,0.002,13786.0,13123.0,1.0
alpha_country[39],-1.739,0.259,-2.246,-1.228,0.003,0.002,9937.0,10792.0,1.0
alpha_country[40],-1.873,0.42,-2.694,-1.029,0.002,0.004,29541.0,12331.0,1.0
alpha_country[41],-1.742,0.315,-2.355,-1.104,0.003,0.002,15350.0,12076.0,1.0
alpha_country[42],-1.688,0.193,-2.062,-1.308,0.002,0.001,9722.0,11013.0,1.0
alpha_country[43],-2.575,0.226,-3.013,-2.135,0.002,0.002,8493.0,8242.0,1.0
alpha_country[44],-2.382,0.218,-2.816,-1.959,0.003,0.002,6453.0,9289.0,1.0
alpha_country[45],-1.442,0.142,-1.72,-1.162,0.002,0.001,7076.0,10068.0,1.0
alpha_country[46],-1.677,0.352,-2.341,-0.96,0.003,0.003,18912.0,13673.0,1.0
alpha_country[47],-0.916,0.143,-1.243,-0.654,0.001,0.002,10576.0,10516.0,1.0
alpha_country[48],-1.779,0.304,-2.363,-1.19,0.003,0.002,11129.0,11727.0,1.0
alpha_country[49],-1.664,0.203,-2.065,-1.267,0.002,0.002,9187.0,10456.0,1.0
alpha_country[50],-1.783,0.248,-2.269,-1.297,0.002,0.002,14400.0,12378.0,1.0
alpha_country[51],-2.241,0.265,-2.753,-1.72,0.002,0.002,14649.0,12748.0,1.0
alpha_country[52],-2.536,0.327,-3.196,-1.923,0.003,0.002,12896.0,13159.0,1.0
alpha_country[53],-1.609,0.235,-2.09,-1.164,0.002,0.002,9199.0,10571.0,1.0
alpha_country[54],-1.676,0.223,-2.119,-1.248,0.003,0.002,7314.0,9581.0,1.0
alpha_country[55],-1.643,0.216,-2.089,-1.245,0.003,0.002,7116.0,9644.0,1.0
alpha_country[56],-1.526,0.275,-2.081,-0.997,0.002,0.002,12460.0,10545.0,1.0
alpha_country[57],-1.188,0.238,-1.643,-0.717,0.003,0.002,6795.0,9507.0,1.0
alpha_country[58],-1.92,0.282,-2.475,-1.365,0.003,0.002,12189.0,12096.0,1.0
alpha_country[59],-1.754,0.215,-2.19,-1.35,0.002,0.002,9623.0,11113.0,1.0
alpha_country[60],-1.754,0.21,-2.163,-1.336,0.002,0.002,9864.0,11036.0,1.0
