,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[212],-0.169,0.981,-2.091,1.75,0.005,0.01,38888.0,11023.0,1.0
z_source[213],0.38,0.986,-1.458,2.389,0.005,0.01,41120.0,10444.0,1.0
z_source[214],-0.081,0.979,-1.96,1.882,0.005,0.01,37695.0,11218.0,1.0
z_source[215],-0.083,0.988,-2.015,1.877,0.005,0.01,38078.0,11624.0,1.0
z_source[216],-0.239,0.292,-0.796,0.34,0.004,0.002,4753.0,8454.0,1.0
z_source[217],0.107,0.285,-0.434,0.678,0.004,0.002,4620.0,8422.0,1.0
z_source[218],-0.16,0.292,-0.744,0.399,0.004,0.002,4802.0,8187.0,1.0
z_source[219],0.474,0.286,-0.065,1.043,0.004,0.002,4505.0,8545.0,1.0
z_source[220],-2.06,0.495,-3.039,-1.09,0.004,0.004,12867.0,11424.0,1.0
z_source[221],-2.283,0.504,-3.284,-1.319,0.004,0.004,17548.0,12429.0,1.0
z_source[222],-1.701,0.476,-2.628,-0.745,0.004,0.004,14765.0,12069.0,1.0
z_source[223],-1.666,0.47,-2.597,-0.77,0.004,0.004,14438.0,12034.0,1.0
z_source[224],-1.789,0.51,-2.825,-0.83,0.004,0.004,19485.0,11795.0,1.0
z_source[225],-2.384,0.651,-3.673,-1.123,0.004,0.006,29574.0,11607.0,1.0
z_source[226],1.046,0.26,0.535,1.555,0.005,0.002,3333.0,6558.0,1.0
z_source[227],1.215,0.263,0.726,1.756,0.004,0.002,3540.0,7037.0,1.0
z_source[228],-0.004,0.265,-0.527,0.505,0.004,0.002,3618.0,6806.0,1.0
z_source[229],0.142,0.269,-0.381,0.667,0.004,0.002,3910.0,6397.0,1.0
z_source[230],0.597,0.277,0.055,1.137,0.005,0.002,3726.0,6704.0,1.0
z_source[231],0.956,0.612,-0.218,2.192,0.004,0.006,23709.0,10660.0,1.0
z_source[232],-0.201,0.649,-1.475,1.067,0.004,0.006,30906.0,11511.0,1.0
z_source[233],-0.111,0.644,-1.37,1.164,0.004,0.006,27536.0,11029.0,1.0
z_source[234],0.293,0.714,-1.143,1.645,0.004,0.007,33596.0,10767.0,1.0
z_source[235],-0.239,0.766,-1.729,1.267,0.004,0.007,34751.0,11161.0,1.0
z_source[236],-0.219,0.279,-0.771,0.324,0.005,0.002,3437.0,6451.0,1.0
