,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[842],-0.563,0.64,-1.868,0.643,0.004,0.005,22065.0,11616.0,1.0
z_source[843],0.528,0.576,-0.576,1.685,0.004,0.005,18757.0,11300.0,1.0
z_source[844],1.395,0.427,0.536,2.214,0.004,0.003,9867.0,11585.0,1.0
z_source[845],1.414,0.408,0.61,2.205,0.004,0.003,9273.0,11493.0,1.0
z_source[846],1.158,0.42,0.343,1.995,0.004,0.003,9700.0,11082.0,1.0
z_source[847],1.617,0.421,0.775,2.424,0.004,0.003,9517.0,11183.0,1.0
z_source[848],0.886,0.654,-0.436,2.108,0.005,0.005,19986.0,11739.0,1.0
z_source[849],-0.684,0.828,-2.337,0.895,0.006,0.007,22177.0,11405.0,1.0
z_source[850],0.325,0.898,-1.418,2.09,0.005,0.008,26711.0,11642.0,1.0
z_source[851],-0.299,0.833,-1.929,1.279,0.005,0.007,24434.0,10816.0,1.0
z_source[852],-0.061,0.838,-1.744,1.564,0.005,0.008,24191.0,10563.0,1.0
z_source[853],0.036,0.957,-1.829,1.902,0.006,0.008,24615.0,11775.0,1.0
z_source[854],0.489,0.561,-0.577,1.62,0.004,0.004,16838.0,12588.0,1.0
z_source[855],-0.077,0.975,-2.012,1.872,0.006,0.009,27955.0,10637.0,1.0
z_source[856],-2.687,0.348,-3.395,-2.029,0.004,0.003,7238.0,9040.0,1.0
z_source[857],-2.868,0.352,-3.586,-2.207,0.004,0.003,7190.0,10297.0,1.0
z_source[858],-2.514,0.337,-3.174,-1.859,0.004,0.002,7287.0,10690.0,1.0
z_source[859],-1.95,0.314,-2.571,-1.345,0.004,0.002,6899.0,9792.0,1.0
z_source[860],-2.259,0.346,-2.927,-1.567,0.004,0.003,7796.0,8447.0,1.0
z_source[861],-0.249,0.829,-1.943,1.301,0.005,0.008,25312.0,10385.0,1.0
z_source[862],-0.65,0.745,-2.163,0.754,0.005,0.007,21589.0,10943.0,1.0
z_source[863],-0.233,0.832,-1.814,1.432,0.005,0.008,27012.0,10903.0,1.0
z_source[864],-0.179,0.482,-1.138,0.738,0.004,0.004,13708.0,10971.0,1.0
z_source[865],-0.861,0.391,-1.645,-0.121,0.004,0.003,10908.0,10854.0,1.0
z_source[866],-0.581,0.43,-1.451,0.228,0.004,0.003,12469.0,11329.0,1.0
z_source[867],-0.345,0.382,-1.082,0.415,0.004,0.003,10399.0,11563.0,1.0
z_source[868],-0.566,0.405,-1.362,0.214,0.004,0.003,10927.0,11213.0,1.0
z_source[869],-0.382,0.447,-1.249,0.504,0.004,0.004,12425.0,11342.0,1.0
z_source[870],0.749,0.334,0.069,1.382,0.003,0.003,9280.0,11831.0,1.0
z_source[871],0.3,0.329,-0.345,0.947,0.004,0.002,8798.0,9957.0,1.0
z_source[872],0.312,0.321,-0.337,0.92,0.003,0.002,8542.0,10962.0,1.0
z_source[873],0.438,0.329,-0.198,1.099,0.003,0.002,9504.0,10603.0,1.0
z_source[874],0.502,0.336,-0.169,1.151,0.003,0.002,9701.0,11060.0,1.0
z_source[875],1.294,0.331,0.666,1.964,0.004,0.003,5556.0,8507.0,1.0
z_source[876],0.033,0.371,-0.683,0.763,0.004,0.003,7350.0,10025.0,1.0
z_source[877],0.711,0.354,0.033,1.41,0.004,0.003,6716.0,8928.0,1.0
z_source[878],-0.165,0.406,-0.969,0.62,0.004,0.003,9274.0,10842.0,1.0
z_source[879],-0.057,0.402,-0.848,0.729,0.004,0.003,8413.0,9692.0,1.0
z_source[880],1.546,0.272,1.01,2.076,0.004,0.002,3865.0,7043.0,1.0
z_source[881],0.631,0.269,0.102,1.162,0.004,0.002,3870.0,7188.0,1.0
z_source[882],1.311,0.27,0.765,1.824,0.004,0.002,3717.0,6924.0,1.0
z_source[883],0.747,0.279,0.213,1.309,0.004,0.002,4338.0,7993.0,1.0
z_source[884],1.201,0.297,0.615,1.772,0.004,0.002,4576.0,8098.0,1.0
z_source[885],-0.87,0.86,-2.554,0.794,0.005,0.007,24990.0,10865.0,1.0
z_source[886],0.138,0.767,-1.373,1.642,0.005,0.007,20837.0,11050.0,1.0
z_source[887],0.153,0.728,-1.246,1.589,0.005,0.006,21047.0,11317.0,1.0
z_source[888],0.646,0.879,-1.035,2.419,0.006,0.008,24980.0,10966.0,1.0
z_source[889],0.221,0.66,-1.084,1.506,0.005,0.006,20728.0,11442.0,1.0
z_source[890],-0.677,0.689,-2.028,0.686,0.005,0.006,22933.0,11159.0,1.0
z_source[891],-0.495,0.509,-1.504,0.487,0.004,0.004,13827.0,11096.0,1.0
z_source[892],-0.937,0.495,-1.908,0.026,0.004,0.004,13496.0,11398.0,1.0
z_source[893],-0.686,0.499,-1.664,0.288,0.004,0.004,12844.0,9314.0,1.0
z_source[894],-0.776,0.551,-1.913,0.25,0.004,0.005,15976.0,11098.0,1.0
z_source[895],1.702,0.4,0.952,2.521,0.004,0.003,8774.0,10253.0,1.0
z_source[896],0.55,0.56,-0.525,1.663,0.004,0.004,16327.0,11878.0,1.0
z_source[897],0.429,0.561,-0.67,1.524,0.004,0.005,16738.0,11110.0,1.0
z_source[898],-0.265,0.579,-1.418,0.842,0.004,0.005,17800.0,11371.0,1.0
z_source[899],-1.119,0.621,-2.308,0.146,0.004,0.005,19503.0,11560.0,1.0
z_source[900],-0.325,0.523,-1.32,0.744,0.004,0.004,14429.0,11249.0,1.0
z_source[901],-0.202,0.438,-1.066,0.647,0.004,0.003,10366.0,11698.0,1.0
z_source[902],0.119,0.428,-0.72,0.949,0.004,0.003,9574.0,11216.0,1.0
z_source[903],0.62,0.409,-0.184,1.419,0.004,0.003,9535.0,11387.0,1.0
z_source[904],0.95,0.444,0.12,1.86,0.004,0.003,10644.0,12079.0,1.0
z_source[905],-0.369,0.465,-1.278,0.55,0.004,0.004,11289.0,11667.0,1.0
z_source[906],0.674,0.361,-0.043,1.381,0.005,0.003,5437.0,8056.0,1.0
z_source[907],-0.008,0.351,-0.683,0.686,0.005,0.003,5294.0,8499.0,1.0
z_source[908],-1.126,0.458,-2.044,-0.267,0.005,0.004,8822.0,10862.0,1.0
z_source[909],0.194,0.347,-0.456,0.902,0.005,0.003,5318.0,8313.0,1.0
z_source[910],-0.124,0.365,-0.85,0.579,0.005,0.003,5467.0,8890.0,1.0
z_source[911],0.775,0.56,-0.307,1.855,0.004,0.005,18439.0,11712.0,1.0
z_source[912],0.328,0.668,-0.98,1.613,0.005,0.006,20855.0,11192.0,1.0
z_source[913],0.138,0.592,-1.027,1.282,0.004,0.005,21271.0,11474.0,1.0
z_source[914],-0.549,0.902,-2.33,1.184,0.006,0.008,20953.0,11229.0,1.0
z_source[915],-0.282,0.941,-2.055,1.655,0.006,0.008,26047.0,11557.0,1.0
z_source[916],-0.029,0.992,-1.934,1.967,0.006,0.009,24894.0,10588.0,1.0
z_source[917],-0.064,0.985,-2.008,1.821,0.006,0.009,29844.0,11288.0,1.0
z_source[918],-0.034,0.994,-1.951,1.911,0.006,0.009,27026.0,11707.0,1.0
z_source[919],-1.388,0.52,-2.392,-0.365,0.004,0.005,14758.0,11083.0,1.0
z_source[920],-2.782,0.525,-3.83,-1.784,0.004,0.004,15194.0,10730.0,1.0
z_source[921],-1.148,0.395,-1.933,-0.382,0.004,0.003,12269.0,11284.0,1.0
z_source[922],-1.082,0.371,-1.806,-0.359,0.003,0.003,11664.0,11917.0,1.0
z_source[923],-0.961,0.429,-1.785,-0.108,0.004,0.003,13303.0,11689.0,1.0
z_source[924],-0.06,0.977,-1.993,1.848,0.006,0.009,23152.0,11122.0,1.0
z_source[925],0.663,0.701,-0.673,2.098,0.006,0.006,12702.0,11473.0,1.0
z_source[926],0.111,0.632,-1.149,1.367,0.006,0.006,10335.0,11013.0,1.0
z_source[927],-0.757,0.694,-2.152,0.576,0.006,0.006,11781.0,10336.0,1.0
z_source[928],-0.046,0.411,-0.859,0.763,0.005,0.003,8285.0,9618.0,1.0
z_source[929],-0.259,0.413,-1.103,0.513,0.004,0.003,8586.0,10655.0,1.0
z_source[930],-0.481,0.448,-1.388,0.362,0.004,0.003,9949.0,10588.0,1.0
z_source[931],-0.701,0.403,-1.487,0.089,0.004,0.003,8060.0,10695.0,1.0
z_source[932],-0.511,0.404,-1.295,0.273,0.004,0.003,8441.0,10736.0,1.0
z_source[933],0.429,0.98,-1.445,2.404,0.006,0.009,25098.0,11467.0,1.0
z_source[934],-0.181,0.735,-1.579,1.296,0.005,0.007,24525.0,11443.0,1.0
z_source[935],0.166,0.762,-1.312,1.666,0.005,0.007,22088.0,10867.0,1.0
z_source[936],0.246,0.695,-1.119,1.614,0.005,0.007,20727.0,10551.0,1.0
z_source[937],-0.24,0.91,-1.974,1.562,0.006,0.008,23613.0,10955.0,1.0
z_source[938],0.211,0.953,-1.618,2.122,0.006,0.009,22906.0,11778.0,1.0
z_source[939],0.838,0.428,-0.015,1.661,0.004,0.003,10813.0,11586.0,1.0
z_source[940],0.568,0.402,-0.224,1.341,0.004,0.003,8773.0,10580.0,1.0
z_source[941],0.341,0.367,-0.378,1.065,0.004,0.003,7689.0,10719.0,1.0
z_source[942],0.229,0.342,-0.456,0.888,0.004,0.003,6620.0,10124.0,1.0
z_source[943],0.342,0.347,-0.325,1.048,0.004,0.003,6645.0,10178.0,1.0
z_source[944],-0.73,0.597,-1.911,0.419,0.005,0.005,17599.0,11357.0,1.0
z_source[945],-0.742,0.478,-1.698,0.17,0.004,0.004,14374.0,11550.0,1.0
z_source[946],-0.196,0.459,-1.138,0.662,0.004,0.003,12939.0,11913.0,1.0
z_source[947],-0.028,0.428,-0.85,0.829,0.004,0.003,11668.0,11321.0,1.0
z_source[948],0.218,0.474,-0.723,1.139,0.004,0.004,13321.0,11798.0,1.0
z_source[949],-0.104,0.975,-1.957,1.851,0.006,0.009,25316.0,11387.0,1.0
z_source[950],-0.223,0.956,-2.157,1.565,0.006,0.008,26904.0,10471.0,1.0
z_source[951],-0.28,0.948,-2.15,1.555,0.006,0.009,25014.0,10556.0,1.0
z_source[952],-0.324,0.934,-2.13,1.491,0.005,0.008,30117.0,11170.0,1.0
z_source[953],1.044,0.863,-0.661,2.649,0.006,0.007,24407.0,12247.0,1.0
z_source[954],0.798,0.284,0.24,1.356,0.004,0.002,6451.0,9379.0,1.0
z_source[955],0.695,0.282,0.116,1.23,0.004,0.002,6460.0,9753.0,1.0
z_source[956],0.641,0.362,-0.084,1.336,0.004,0.003,9158.0,11199.0,1.0
z_source[957],1.163,0.279,0.598,1.694,0.004,0.002,6340.0,10010.0,1.0
z_source[958],1.422,0.278,0.874,1.963,0.004,0.002,5779.0,9495.0,1.0
z_source[959],-0.06,0.996,-2.031,1.848,0.006,0.009,27219.0,11455.0,1.0
z_source[960],-0.194,0.967,-2.069,1.714,0.006,0.009,28803.0,10183.0,1.0
z_source[961],0.573,0.79,-1.006,2.083,0.005,0.007,24864.0,10816.0,1.0
z_source[962],0.137,0.283,-0.426,0.683,0.004,0.002,4241.0,7269.0,1.0
